cc_key,year,cc_perm_resident_count
COALINGA,2020,3.0
COALINGA,2021,3.0
COALINGA,2022,3.0
COALINGA,2023,111.0
COALINGA,2024,125.0
COALINGA,2025,144.0
COASTLINE,2005,3.0
COASTLINE,2006,3.0
COASTLINE,2007,2.0
COASTLINE,2008,3.0
COASTLINE,2009,4176.0
COASTLINE,2010,4492.0
COASTLINE,2011,3847.0
COASTLINE,2012,3288.0
COASTLINE,2013,10.0
COASTLINE,2014,14.0
COASTLINE,2015,17.0
COASTLINE,2016,15.0
COASTLINE,2017,23.0
COASTLINE,2018,34.0
COASTLINE,2019,26.0
COASTLINE,2020,36.0
COASTLINE,2021,29.0
COASTLINE,2022,24.0
COASTLINE,2023,392.0
COASTLINE,2024,465.0
COASTLINE,2025,512.0
COLUMBIA,2005,55.0
COLUMBIA,2006,25.0
COLUMBIA,2007,81.0
COLUMBIA,2008,79.0
COLUMBIA,2009,4537.0
COLUMBIA,2010,6265.0
COLUMBIA,2011,8206.0
COLUMBIA,2012,7594.0
COLUMBIA,2013,7561.0
COLUMBIA,2014,7787.0
COLUMBIA,2015,7728.0
COLUMBIA,2016,7461.0
COLUMBIA,2017,7559.0
COLUMBIA,2018,7451.0
COLUMBIA,2022,3.0
COLUMBIA,2023,11.0
COLUMBIA,2024,13.0
COLUMBIA,2025,19.0
COMPTON,2005,8570.0
COMPTON,2006,7390.0
COMPTON,2007,8106.0
COMPTON,2008,8660.0
COMPTON,2009,20.0
COMPTON,2010,22.0
COMPTON,2011,13.0
COMPTON,2012,8.0
COMPTON,2013,7016.0
COMPTON,2014,7190.0
COMPTON,2015,7087.0
COMPTON,2016,6892.0
COMPTON,2017,6930.0
COMPTON,2018,6836.0
COMPTON,2019,4.0
COMPTON,2020,2.0
COMPTON,2021,3.0
COMPTON,2022,2.0
COMPTON,2023,84.0
COMPTON,2024,91.0
COMPTON,2025,116.0
CONTRA COSTA,2005,7351.0
CONTRA COSTA,2006,6430.0
CONTRA COSTA,2007,7298.0
CONTRA COSTA,2008,7897.0
CONTRA COSTA,2009,2.0
CONTRA COSTA,2010,1.0
CONTRA COSTA,2011,1.0
CONTRA COSTA,2013,8.0
CONTRA COSTA,2014,28.0
CONTRA COSTA,2015,41.0
CONTRA COSTA,2016,55.0
CONTRA COSTA,2017,58.0
CONTRA COSTA,2018,57.0
CONTRA COSTA,2019,663.0
CONTRA COSTA,2020,638.0
CONTRA COSTA,2021,527.0
CONTRA COSTA,2022,481.0
CONTRA COSTA,2023,450.0
CONTRA COSTA,2024,463.0
CONTRA COSTA,2025,417.0
COPPER MOUNTAIN,2005,12.0
COPPER MOUNTAIN,2006,10.0
COPPER MOUNTAIN,2007,6.0
COPPER MOUNTAIN,2008,6.0
COPPER MOUNTAIN,2009,38.0
COPPER MOUNTAIN,2010,40.0
COPPER MOUNTAIN,2011,35.0
COPPER MOUNTAIN,2012,31.0
COPPER MOUNTAIN,2014,2.0
COPPER MOUNTAIN,2015,2.0
COPPER MOUNTAIN,2016,1.0
COPPER MOUNTAIN,2017,1.0
COPPER MOUNTAIN,2019,62.0
