cc_name,uc_campus,cc_uc_distance_miles,cc_uc_drive_hours
CYPRESS,Merced,300.32,4.99
CYPRESS,Riverside,47.96,1.31
CYPRESS,San Diego,89.79,1.48
CYPRESS,University of California-San Francisco,407.2,6.67
CYPRESS,Santa Barbara,127.82,2.28
CYPRESS,Santa Cruz,366.96,6.22
DE ANZA,Berkeley,55.78,1.17
DE ANZA,Davis,110.05,1.88
DE ANZA,Irvine,392.06,6.19
DE ANZA,Los Angeles,351.12,5.56
DE ANZA,Merced,131.22,2.39
DE ANZA,Riverside,401.76,6.4
DE ANZA,San Diego,483.84,7.62
DE ANZA,University of California-San Francisco,44.12,0.88
DE ANZA,Santa Barbara,290.78,4.6
DE ANZA,Santa Cruz,34.75,0.79
DIABLO VALLEY,Berkeley,17.38,0.52
DIABLO VALLEY,Davis,52.55,0.93
DIABLO VALLEY,Irvine,414.44,6.54
DIABLO VALLEY,Los Angeles,373.5,5.92
DIABLO VALLEY,Merced,123.41,2.18
DIABLO VALLEY,Riverside,424.14,6.76
DIABLO VALLEY,San Diego,506.22,7.94
DIABLO VALLEY,University of California-San Francisco,30.88,0.78
DIABLO VALLEY,Santa Barbara,332.89,5.29
DIABLO VALLEY,Santa Cruz,85.0,1.56
EAST LOS ANGELES,Berkeley,379.8,6.21
EAST LOS ANGELES,Davis,402.65,6.51
EAST LOS ANGELES,Irvine,43.42,0.85
EAST LOS ANGELES,Los Angeles,3.32,0.16
EAST LOS ANGELES,Merced,283.86,4.69
EAST LOS ANGELES,Riverside,51.96,1.19
EAST LOS ANGELES,San Diego,105.95,1.88
EAST LOS ANGELES,University of California-San Francisco,390.74,6.37
EAST LOS ANGELES,Santa Barbara,112.01,1.97
EAST LOS ANGELES,Santa Cruz,350.5,5.91
EL CAMINO,Berkeley,384.68,6.26
EL CAMINO,Davis,407.52,6.56
EL CAMINO,Irvine,36.48,0.81
EL CAMINO,Los Angeles,23.48,0.59
EL CAMINO,Merced,288.73,4.75
EL CAMINO,Riverside,64.15,1.53
EL CAMINO,San Diego,106.19,1.78
EL CAMINO,University of California-San Francisco,395.61,6.43
EL CAMINO,Santa Barbara,113.22,1.97
