field,major,enrolls,year,cc_name,uc_campus
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,4,2016,AMERICAN RIVER,Davis
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,5,2016,AMERICAN RIVER,Davis
COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,9,2016,AMERICAN RIVER,Davis
ENGINEERING,Computer Engineering,3,2016,AMERICAN RIVER,Davis
ENGINEERING,Mechanical Engineering,3,2016,AMERICAN RIVER,Davis
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",3,2016,AMERICAN RIVER,Los Angeles
FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES,"Human Development, Family Studies, and Related Services",7,2016,AMERICAN RIVER,Davis
"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","Linguistic, Comparative, and Related Language Studies and Services",3,2016,AMERICAN RIVER,Los Angeles
HEALTH PROFESSIONS AND RELATED PROGRAMS,"Pharmacy, Pharmaceutical Sciences, and Administration",8,2016,AMERICAN RIVER,Davis
MATHEMATICS AND STATISTICS,Mathematics,4,2016,AMERICAN RIVER,Davis
MULTI/INTERDISCIPLINARY STUDIES,Nutrition Sciences,7,2016,AMERICAN RIVER,Davis
PHYSICAL SCIENCES,Chemistry,3,2016,AMERICAN RIVER,Davis
PSYCHOLOGY,Research and Experimental Psychology,17,2016,AMERICAN RIVER,Davis
SOCIAL SCIENCES,Economics,12,2016,AMERICAN RIVER,Davis
SOCIAL SCIENCES,Economics,5,2016,AMERICAN RIVER,Santa Barbara
SOCIAL SCIENCES,International Relations and National Security Studies,3,2016,AMERICAN RIVER,Davis
SOCIAL SCIENCES,Political Science and Government,5,2016,AMERICAN RIVER,Davis
SOCIAL SCIENCES,Sociology,4,2016,AMERICAN RIVER,Davis
VISUAL AND PERFORMING ARTS,Fine and Studio Arts,4,2016,AMERICAN RIVER,Davis
VISUAL AND PERFORMING ARTS,Music,3,2016,AMERICAN RIVER,Berkeley
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biochemistry, Biophysics and Molecular Biology",6,2017,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",7,2017,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,Biotechnology,5,2017,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,Neurobiology and Neurosciences,5,2017,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Physiology, Pathology and Related Sciences",7,2017,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,Zoology/Animal Biology,3,2017,AMERICAN RIVER,Davis
