year,college,eops_headcount,eops_care_headcount
2015,Copper Mountain College,140.0,34.0
2015,Cosumnes River,616.0,61.0
2015,Crafton Hills,422.0,48.0
2015,Cuesta,253.0,44.0
2015,Cuyamaca,883.0,59.0
2015,Cypress,588.0,53.0
2015,Deanza,769.0,10.0
2015,Desert,320.0,54.0
2015,Diablo Valley,636.0,36.0
2015,East LA,1531.0,84.0
2015,El Camino,1184.0,156.0
2015,Evergreen Valley,468.0,29.0
2015,Feather River,142.0,10.0
2015,Folsom Lake,181.0,41.0
2015,Foothill,402.0,20.0
2015,Fresno City,1457.0,125.0
2015,Fullerton,1177.0,117.0
2015,Gavilan,345.0,79.0
2015,Glendale,1952.0,29.0
2015,Golden West,878.0,48.0
2015,Grossmont,810.0,108.0
2015,Hartnell,571.0,74.0
2015,Imperial,952.0,152.0
2015,Irvine,554.0,30.0
2015,LA City,2179.0,69.0
2015,LA Harbor,410.0,60.0
2015,LA Mission,788.0,41.0
2015,LA Pierce,1115.0,31.0
2015,LA Swest,672.0,30.0
2015,LA Trade,2159.0,175.0
2015,LA Valley,1191.0,58.0
2015,Lake Tahoe,124.0,9.0
2015,Laney,553.0,121.0
2015,Las Positas,211.0,15.0
2015,Lassen,209.0,15.0
2015,Lemoore College,189.0,22.0
2015,Long Beach,1575.0,120.0
2015,Los Medanos,472.0,75.0
2015,Marin,283.0,28.0
2015,Mendocino,271.0,16.0
2015,Merced,950.0,92.0
2015,Merritt,486.0,73.0
2015,MiraCosta,557.0,58.0
2015,Mission,350.0,22.0
2015,Modesto,935.0,55.0
2015,Monterey,432.0,61.0
2015,Moorpark,448.0,22.0
2015,Moreno Valley,355.0,34.0
2015,Mt San Antonio,853.0,80.0
2015,Mt. San Jacinto,427.0,67.0
2015,Napa,234.0,19.0
2015,Norco,305.0,24.0
2015,Ohlone,203.0,23.0
2015,Orange Coast,1353.0,70.0
2015,Oxnard,817.0,97.0
2015,Palo Verde,449.0,21.0
2015,Palomar,852.0,35.0
2015,Pasadena,807.0,23.0
2015,Porterville,464.0,36.0
2015,Redwoods,893.0,48.0
2015,Reedley College,654.0,31.0
2015,Rio Hondo,991.0,85.0
2015,Riverside,501.0,57.0
2015,Sacramento City,1088.0,73.0
2015,Saddleback,366.0,17.0
2015,San Bernardino,784.0,47.0
2015,San Diego City,1357.0,66.0
2015,San Diego Mesa,614.0,27.0
2015,San Diego Miramar,439.0,23.0
2015,San Francisco,1038.0,68.0
2015,San Joaquin Delta,969.0,117.0
2015,San Jose City,636.0,49.0
2015,San Mateo,362.0,7.0
2015,Santa Ana,1192.0,35.0
2015,Santa Barbara,1225.0,28.0
2015,Santa Monica,882.0,30.0
2015,Santa Rosa,581.0,44.0
2015,Santiago Canyon,316.0,16.0
2015,Sequoias,993.0,108.0
2015,Shasta,711.0,36.0
2015,Sierra,616.0,70.0
2015,Siskiyous,276.0,7.0
2015,Skyline,397.0,36.0
2015,Solano,392.0,21.0
2015,Southwestern,1907.0,92.0
2015,Taft,228.0,16.0
2015,Ventura,717.0,28.0
2015,Victor Valley,1156.0,161.0
2015,West LA,505.0,33.0
2015,West Valley,258.0,16.0
2015,Woodland,181.0,21.0
2015,Yuba,727.0,67.0
2016,Alameda,608.0,39.0
2016,Allan Hancock,713.0,99.0
2016,American River,1094.0,108.0
2016,Antelope Valley,709.0,110.0
2016,Bakersfield,997.0,93.0
2016,Barstow,369.0,70.0
2016,Berkeley City,241.0,14.0
2016,Butte,1188.0,80.0
2016,Cabrillo,353.0,56.0
2016,Canada,401.0,24.0
2016,Canyons,524.0,45.0
2016,Cerritos,1056.0,50.0
2016,Cerro Coso,240.0,29.0
2016,Chabot Hayward,385.0,39.0
2016,Chaffey,929.0,77.0
2016,Citrus,701.0,36.0
2016,Clovis,70.0,9.0
2016,Coalinga College,164.0,16.0
2016,Coastline,207.0,8.0
2016,Columbia,278.0,10.0
2016,Compton,926.0,172.0
2016,Contra Costa,729.0,58.0
2016,Copper Mountain College,156.0,33.0
2016,Cosumnes River,605.0,58.0
2016,Crafton Hills,444.0,46.0
2016,Cuesta,263.0,47.0
2016,Cuyamaca,911.0,56.0
2016,Cypress,655.0,69.0
2016,Deanza,951.0,14.0
2016,Desert,396.0,58.0
2016,Diablo Valley,733.0,40.0
2016,East LA,1535.0,86.0
2016,El Camino,1173.0,97.0
2016,Evergreen Valley,668.0,36.0
2016,Feather River,119.0,9.0
2016,Folsom Lake,230.0,39.0
2016,Foothill,432.0,13.0
2016,Fresno City,1665.0,146.0
2016,Fullerton,1507.0,91.0
2016,Gavilan,402.0,57.0
2016,Glendale,1949.0,29.0
2016,Golden West,852.0,31.0
2016,Grossmont,1028.0,121.0
2016,Hartnell,605.0,55.0
2016,Imperial,1186.0,184.0
2016,Irvine,692.0,36.0
2016,LA City,2647.0,67.0
2016,LA Harbor,602.0,37.0
2016,LA Mission,868.0,37.0
2016,LA Pierce,1181.0,37.0
2016,LA Swest,583.0,46.0
2016,LA Trade,2390.0,197.0
2016,LA Valley,1331.0,50.0
2016,Lake Tahoe,147.0,14.0
2016,Laney,601.0,119.0
2016,Las Positas,243.0,10.0
2016,Lassen,196.0,12.0
2016,Lemoore College,190.0,21.0
2016,Long Beach,1516.0,89.0
2016,Los Medanos,567.0,75.0
2016,Marin,308.0,21.0
2016,Mendocino,427.0,28.0
2016,Merced,1089.0,115.0
2016,Merritt,520.0,75.0
2016,MiraCosta,636.0,57.0
2016,Mission,380.0,15.0
2016,Modesto,1240.0,69.0
2016,Monterey,613.0,54.0
2016,Moorpark,463.0,21.0
2016,Moreno Valley,464.0,38.0
2016,Mt San Antonio,1035.0,82.0
2016,Mt. San Jacinto,499.0,80.0
2016,Napa,250.0,21.0
2016,Norco,321.0,24.0
2016,Ohlone,211.0,22.0
2016,Orange Coast,1473.0,72.0
2016,Oxnard,877.0,100.0
2016,Palo Verde,445.0,18.0
2016,Palomar,916.0,41.0
2016,Pasadena,856.0,29.0
2016,Porterville,721.0,57.0
2016,Redwoods,815.0,42.0
2016,Reedley College,876.0,45.0
2016,Rio Hondo,1195.0,112.0
2016,Riverside,597.0,48.0
2016,Sacramento City,1092.0,73.0
2016,Saddleback,421.0,23.0
2016,San Bernardino,822.0,47.0
2016,San Diego City,1284.0,55.0
2016,San Diego Mesa,668.0,21.0
2016,San Diego Miramar,521.0,20.0
2016,San Francisco,1165.0,85.0
2016,San Joaquin Delta,942.0,106.0
2016,San Jose City,805.0,39.0
2016,San Mateo,387.0,10.0
2016,Santa Ana,1348.0,34.0
2016,Santa Barbara,1091.0,34.0
2016,Santa Monica,1066.0,27.0
2016,Santa Rosa,656.0,31.0
2016,Santiago Canyon,364.0,18.0
2016,Sequoias,1066.0,119.0
2016,Shasta,792.0,33.0
2016,Sierra,666.0,72.0
2016,Siskiyous,269.0,9.0
2016,Skyline,398.0,24.0
2016,Solano,335.0,27.0
2016,Southwestern,2000.0,83.0
2016,Taft,252.0,26.0
2016,Ventura,741.0,29.0
2016,Victor Valley,1151.0,127.0
2016,West LA,576.0,33.0
2016,West Valley,276.0,16.0
2016,Woodland,200.0,26.0
2016,Yuba,848.0,67.0
2017,Alameda,560.0,36.0
2017,Allan Hancock,1061.0,127.0
2017,American River,1082.0,78.0
2017,Antelope Valley,758.0,105.0
2017,Bakersfield,1429.0,23.0
2017,Barstow,394.0,76.0
2017,Berkeley City,258.0,11.0
2017,Butte,1257.0,83.0
