cc_name,uc_name,cc_lat,cc_lon,uc_lat,uc_lon,distance_meters,duration_seconds,status
City College of San Francisco,University of California-Berkeley,37.725953,-122.451155,37.871918,-122.260463,31381,2284,OK
City College of San Francisco,University of California-Davis,37.725953,-122.451155,38.539667,-121.749567,124902,5039,OK
City College of San Francisco,University of California-Irvine,37.725953,-122.451155,33.648434,-117.841248,693369,24721,OK
City College of San Francisco,University of California-Los Angeles,37.725953,-122.451155,34.066927,-118.168965,627478,22471,OK
City College of San Francisco,University of California-Merced,37.725953,-122.451155,37.366237,-120.424944,224997,8902,OK
City College of San Francisco,University of California-Riverside,37.725953,-122.451155,33.97246,-117.32741,708975,25493,OK
City College of San Francisco,University of California-San Diego,37.725953,-122.451155,32.877749,-117.235866,841072,29682,OK
City College of San Francisco,University of California-San Francisco,37.725953,-122.451155,37.763737,-122.458489,6022,888,OK
City College of San Francisco,University of California-Santa Barbara,37.725953,-122.451155,34.416297,-119.846426,531907,18791,OK
City College of San Francisco,University of California-Santa Cruz,37.725953,-122.451155,36.995584,-122.058801,119865,4877,OK
Clovis Community College,University of California-Berkeley,36.88686,-119.731261,37.871918,-122.260463,300549,11743,OK
Clovis Community College,University of California-Davis,36.88686,-119.731261,38.539667,-121.749567,330314,12852,OK
Clovis Community College,University of California-Irvine,36.88686,-119.731261,33.648434,-117.841248,443895,16141,OK
Clovis Community College,University of California-Los Angeles,36.88686,-119.731261,34.066927,-118.168965,378004,13912,OK
Clovis Community College,University of California-Merced,36.88686,-119.731261,37.366237,-120.424944,102707,4380,OK
Clovis Community College,University of California-Riverside,36.88686,-119.731261,33.97246,-117.32741,459502,16886,OK
Clovis Community College,University of California-San Diego,36.88686,-119.731261,32.877749,-117.235866,591598,21129,OK
Clovis Community College,University of California-San Francisco,36.88686,-119.731261,37.763737,-122.458489,322479,12706,OK
Clovis Community College,University of California-Santa Barbara,36.88686,-119.731261,34.416297,-119.846426,400050,14977,OK
Clovis Community College,University of California-Santa Cruz,36.88686,-119.731261,36.995584,-122.058801,260953,10944,OK
Coalinga College,University of California-Berkeley,36.147891,-120.356747,37.871918,-122.260463,297961,10792,OK
Coalinga College,University of California-Davis,36.147891,-120.356747,38.539667,-121.749567,334725,11940,OK
Coalinga College,University of California-Irvine,36.147891,-120.356747,33.648434,-117.841248,395108,13928,OK
Coalinga College,University of California-Los Angeles,36.147891,-120.356747,34.066927,-118.168965,329217,11669,OK
Coalinga College,University of California-Merced,36.147891,-120.356747,37.366237,-120.424944,169552,6901,OK
Coalinga College,University of California-Riverside,36.147891,-120.356747,33.97246,-117.32741,410714,14667,OK
Coalinga College,University of California-San Diego,36.147891,-120.356747,32.877749,-117.235866,542811,18920,OK
Coalinga College,University of California-San Francisco,36.147891,-120.356747,37.763737,-122.458489,315552,11386,OK
Coalinga College,University of California-Santa Barbara,36.147891,-120.356747,34.416297,-119.846426,321642,12011,OK
Coalinga College,University of California-Santa Cruz,36.147891,-120.356747,36.995584,-122.058801,234257,9825,OK
Coastline Beauty College,University of California-Berkeley,33.728821,-117.921471,37.871918,-122.260463,663778,24017,OK
Coastline Beauty College,University of California-Davis,33.728821,-117.921471,38.539667,-121.749567,700542,25090,OK
Coastline Beauty College,University of California-Irvine,33.728821,-117.921471,33.648434,-117.841248,14857,1022,OK
Coastline Beauty College,University of California-Los Angeles,33.728821,-117.921471,34.066927,-118.168965,55411,2647,OK
Coastline Beauty College,University of California-Merced,33.728821,-117.921471,37.366237,-120.424944,509363,18521,OK
Coastline Beauty College,University of California-Riverside,33.728821,-117.921471,33.97246,-117.32741,74371,4649,OK
Coastline Beauty College,University of California-San Diego,33.728821,-117.921471,32.877749,-117.235866,127054,4526,OK
Coastline Beauty College,University of California-San Francisco,33.728821,-117.921471,37.763737,-122.458489,681369,24597,OK
Coastline Beauty College,University of California-Santa Barbara,33.728821,-117.921471,34.416297,-119.846426,226912,8468,OK
Coastline Beauty College,University of California-Santa Cruz,33.728821,-117.921471,36.995584,-122.058801,616615,23017,OK
Coastline Community College,University of California-Berkeley,33.716054,-117.928979,37.871918,-122.260463,663814,23910,OK
Coastline Community College,University of California-Davis,33.716054,-117.928979,38.539667,-121.749567,700578,24985,OK
Coastline Community College,University of California-Irvine,33.716054,-117.928979,33.648434,-117.841248,14067,940,OK
Coastline Community College,University of California-Los Angeles,33.716054,-117.928979,34.066927,-118.168965,56890,2486,OK
Coastline Community College,University of California-Merced,33.716054,-117.928979,37.366237,-120.424944,509399,18426,OK
Coastline Community College,University of California-Riverside,33.716054,-117.928979,33.97246,-117.32741,80980,4674,OK
Coastline Community College,University of California-San Diego,33.716054,-117.928979,32.877749,-117.235866,126263,4443,OK
Coastline Community College,University of California-San Francisco,33.716054,-117.928979,37.763737,-122.458489,681406,24490,OK
Coastline Community College,University of California-Santa Barbara,33.716054,-117.928979,34.416297,-119.846426,226948,8377,OK
Coastline Community College,University of California-Santa Cruz,33.716054,-117.928979,36.995584,-122.058801,616652,22902,OK
College of Alameda,University of California-Berkeley,37.781017,-122.279303,37.871918,-122.260463,14400,1411,OK
College of Alameda,University of California-Davis,37.781017,-122.279303,38.539667,-121.749567,112663,4350,OK
College of Alameda,University of California-Irvine,37.781017,-122.279303,33.648434,-117.841248,669877,23814,OK
College of Alameda,University of California-Los Angeles,37.781017,-122.279303,34.066927,-118.168965,603986,21574,OK
College of Alameda,University of California-Merced,37.781017,-122.279303,37.366237,-120.424944,201505,8116,OK
