cc_name,uc_campus,year,share_eth_african_american,share_eth_american_indian,share_eth_asian,share_eth_domestic_unknown,share_eth_hispanic__latinx,share_eth_int'l,share_eth_pacific_islander,share_eth_white
ALAMEDA,Riverside,2014,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Riverside,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Riverside,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Riverside,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Riverside,2018,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Riverside,2019,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Riverside,2020,0.2,0.0,0.6,0.0,0.2,0.0,0.0,0.0
ALAMEDA,Riverside,2021,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0
ALAMEDA,Riverside,2022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Riverside,2023,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ALAMEDA,Riverside,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,San Diego,2006,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,San Diego,2007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,San Diego,2008,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,San Diego,2009,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,San Diego,2010,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0
ALAMEDA,San Diego,2011,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,San Diego,2012,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,San Diego,2013,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,San Diego,2014,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.4
ALAMEDA,San Diego,2015,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,San Diego,2016,0.2222222222222222,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.1111111111111111
ALAMEDA,San Diego,2017,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,San Diego,2018,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,San Diego,2019,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.5
ALAMEDA,San Diego,2020,0.2,0.0,0.6,0.0,0.0,0.2,0.0,0.0
ALAMEDA,San Diego,2021,0.0,0.0,0.625,0.0,0.0,0.25,0.0,0.125
ALAMEDA,San Diego,2022,0.0,0.0,0.8181818181818182,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091
ALAMEDA,San Diego,2023,0.0,0.0,0.1875,0.0,0.1875,0.625,0.0,0.0
ALAMEDA,San Diego,2024,0.0,0.0,0.3333333333333333,0.0,0.2,0.4,0.0,0.06666666666666667
ALAMEDA,Santa Barbara,2006,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.75
ALAMEDA,Santa Barbara,2007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Santa Barbara,2008,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Santa Barbara,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Santa Barbara,2010,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ALAMEDA,Santa Barbara,2011,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Santa Barbara,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Santa Barbara,2013,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Santa Barbara,2014,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Santa Barbara,2015,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333
ALAMEDA,Santa Barbara,2016,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
ALAMEDA,Santa Barbara,2017,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
ALAMEDA,Santa Barbara,2018,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0
ALAMEDA,Santa Barbara,2019,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Santa Barbara,2020,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Santa Barbara,2021,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0
ALAMEDA,Santa Barbara,2022,0.0,0.0,0.5,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0
ALAMEDA,Santa Barbara,2023,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0.6666666666666666,0.0,0.0
ALAMEDA,Santa Barbara,2024,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
ALAMEDA,Santa Cruz,2006,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
ALAMEDA,Santa Cruz,2007,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
ALAMEDA,Santa Cruz,2008,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Santa Cruz,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Santa Cruz,2010,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Santa Cruz,2011,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Santa Cruz,2012,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
ALAMEDA,Santa Cruz,2013,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.2222222222222222
ALAMEDA,Santa Cruz,2014,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0
ALAMEDA,Santa Cruz,2015,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Santa Cruz,2016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Santa Cruz,2017,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2
ALAMEDA,Santa Cruz,2018,0.0,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.5714285714285714
ALAMEDA,Santa Cruz,2019,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25
ALAMEDA,Santa Cruz,2020,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Santa Cruz,2021,0.14285714285714285,0.0,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.0,0.2857142857142857
ALAMEDA,Santa Cruz,2022,0.2,0.0,0.3,0.0,0.3,0.0,0.0,0.2
ALAMEDA,Santa Cruz,2023,0.0,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.0,0.14285714285714285
ALAMEDA,Santa Cruz,2024,0.0,0.0,0.375,0.0,0.125,0.125,0.0,0.375
ALLAN HANCOCK,Berkeley,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ALLAN HANCOCK,Berkeley,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ALLAN HANCOCK,Berkeley,2008,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.2
ALLAN HANCOCK,Berkeley,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ALLAN HANCOCK,Berkeley,2010,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75
ALLAN HANCOCK,Berkeley,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ALLAN HANCOCK,Berkeley,2012,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
ALLAN HANCOCK,Berkeley,2013,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666
ALLAN HANCOCK,Berkeley,2014,0.0,0.0,0.0,0.3076923076923077,0.23076923076923078,0.0,0.0,0.46153846153846156
ALLAN HANCOCK,Berkeley,2015,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
ALLAN HANCOCK,Berkeley,2016,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.5714285714285714
ALLAN HANCOCK,Berkeley,2017,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25
ALLAN HANCOCK,Berkeley,2018,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2
ALLAN HANCOCK,Berkeley,2019,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
ALLAN HANCOCK,Berkeley,2020,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ALLAN HANCOCK,Berkeley,2021,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25
ALLAN HANCOCK,Berkeley,2022,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4
ALLAN HANCOCK,Berkeley,2023,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4
ALLAN HANCOCK,Berkeley,2024,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25
ALLAN HANCOCK,Davis,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ALLAN HANCOCK,Davis,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ALLAN HANCOCK,Davis,2008,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.7777777777777778
ALLAN HANCOCK,Davis,2009,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.7272727272727273
ALLAN HANCOCK,Davis,2010,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.8571428571428571
ALLAN HANCOCK,Davis,2011,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
ALLAN HANCOCK,Davis,2012,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.42857142857142855
ALLAN HANCOCK,Davis,2013,0.0,0.0,0.15384615384615385,0.0,0.38461538461538464,0.0,0.0,0.46153846153846156
ALLAN HANCOCK,Davis,2014,0.0,0.0,0.2222222222222222,0.0,0.3333333333333333,0.0,0.0,0.4444444444444444
ALLAN HANCOCK,Davis,2015,0.0,0.0,0.125,0.0,0.375,0.0,0.0,0.5
ALLAN HANCOCK,Davis,2016,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.5714285714285714
ALLAN HANCOCK,Davis,2017,0.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,0.45454545454545453
