cc_name,year,cc_perm_resident_count
COLUMBIA,2016,7559.0
COLUMBIA,2017,7451.0
COLUMBIA,2021,3.0
COLUMBIA,2022,11.0
COLUMBIA,2023,13.0
COLUMBIA,2024,19.0
COMPTON,2004,8570.0
COMPTON,2005,7390.0
COMPTON,2006,8106.0
COMPTON,2007,8660.0
COMPTON,2008,20.0
COMPTON,2009,22.0
COMPTON,2010,13.0
COMPTON,2011,8.0
COMPTON,2012,7016.0
COMPTON,2013,7190.0
COMPTON,2014,7087.0
COMPTON,2015,6892.0
COMPTON,2016,6930.0
COMPTON,2017,6836.0
COMPTON,2018,4.0
COMPTON,2019,2.0
COMPTON,2020,3.0
COMPTON,2021,2.0
COMPTON,2022,84.0
COMPTON,2023,91.0
COMPTON,2024,116.0
CONTRA COSTA,2004,7351.0
CONTRA COSTA,2005,6430.0
CONTRA COSTA,2006,7298.0
CONTRA COSTA,2007,7897.0
CONTRA COSTA,2008,2.0
CONTRA COSTA,2009,1.0
CONTRA COSTA,2010,1.0
CONTRA COSTA,2012,8.0
CONTRA COSTA,2013,28.0
CONTRA COSTA,2014,41.0
CONTRA COSTA,2015,55.0
CONTRA COSTA,2016,58.0
CONTRA COSTA,2017,57.0
CONTRA COSTA,2018,663.0
CONTRA COSTA,2019,638.0
CONTRA COSTA,2020,527.0
CONTRA COSTA,2021,481.0
CONTRA COSTA,2022,450.0
CONTRA COSTA,2023,463.0
CONTRA COSTA,2024,417.0
COPPER MOUNTAIN,2004,12.0
COPPER MOUNTAIN,2005,10.0
COPPER MOUNTAIN,2006,6.0
COPPER MOUNTAIN,2007,6.0
COPPER MOUNTAIN,2008,38.0
COPPER MOUNTAIN,2009,40.0
COPPER MOUNTAIN,2010,35.0
COPPER MOUNTAIN,2011,31.0
COPPER MOUNTAIN,2013,2.0
COPPER MOUNTAIN,2014,2.0
COPPER MOUNTAIN,2015,1.0
COPPER MOUNTAIN,2016,1.0
COPPER MOUNTAIN,2018,62.0
COPPER MOUNTAIN,2019,63.0
COPPER MOUNTAIN,2020,55.0
COPPER MOUNTAIN,2021,38.0
COPPER MOUNTAIN,2022,54.0
COPPER MOUNTAIN,2023,55.0
COPPER MOUNTAIN,2024,55.0
COSUMNES RIVER,2004,10.0
COSUMNES RIVER,2005,20.0
COSUMNES RIVER,2006,32.0
COSUMNES RIVER,2007,30.0
COSUMNES RIVER,2008,77.0
COSUMNES RIVER,2009,105.0
COSUMNES RIVER,2010,134.0
COSUMNES RIVER,2011,137.0
COSUMNES RIVER,2012,95.0
COSUMNES RIVER,2013,66.0
COSUMNES RIVER,2014,64.0
COSUMNES RIVER,2015,58.0
COSUMNES RIVER,2016,65.0
COSUMNES RIVER,2017,63.0
COSUMNES RIVER,2018,14421.0
COSUMNES RIVER,2019,14640.0
COSUMNES RIVER,2020,14913.0
COSUMNES RIVER,2021,14052.0
COSUMNES RIVER,2022,1304.0
COSUMNES RIVER,2023,1309.0
COSUMNES RIVER,2024,1281.0
CRAFTON HILLS,2004,2098.0
CRAFTON HILLS,2005,1380.0
CRAFTON HILLS,2006,956.0
CRAFTON HILLS,2007,772.0
CRAFTON HILLS,2008,900.0
CRAFTON HILLS,2009,924.0
CRAFTON HILLS,2010,704.0
CRAFTON HILLS,2011,677.0
CRAFTON HILLS,2012,7.0
CRAFTON HILLS,2013,6.0
CRAFTON HILLS,2014,4.0
CRAFTON HILLS,2015,1.0
CRAFTON HILLS,2016,2.0
CRAFTON HILLS,2017,5.0
CRAFTON HILLS,2018,6656.0
CRAFTON HILLS,2019,6839.0
CRAFTON HILLS,2020,6022.0
CRAFTON HILLS,2021,5304.0
CRAFTON HILLS,2022,92.0
CRAFTON HILLS,2023,101.0
CRAFTON HILLS,2024,108.0
CUESTA,2004,3.0
CUESTA,2005,4.0
CUESTA,2006,1.0
CUESTA,2007,2.0
CUESTA,2008,145.0
CUESTA,2009,147.0
CUESTA,2010,102.0
CUESTA,2011,117.0
CUESTA,2012,606.0
CUESTA,2013,594.0
CUESTA,2014,436.0
CUESTA,2015,322.0
CUESTA,2016,348.0
CUESTA,2017,326.0
CUESTA,2018,6380.0
CUESTA,2019,6578.0
CUESTA,2020,5812.0
CUESTA,2021,5116.0
CUESTA,2022,270.0
CUESTA,2023,220.0
CUESTA,2024,226.0
CUYAMACA,2004,158.0
CUYAMACA,2005,138.0
CUYAMACA,2006,142.0
CUYAMACA,2007,151.0
CUYAMACA,2008,361.0
CUYAMACA,2009,408.0
CUYAMACA,2010,450.0
CUYAMACA,2011,484.0
CUYAMACA,2012,848.0
CUYAMACA,2013,982.0
CUYAMACA,2014,1093.0
CUYAMACA,2015,1241.0
CUYAMACA,2016,1415.0
CUYAMACA,2017,1477.0
CUYAMACA,2018,11633.0
CUYAMACA,2019,11873.0
CUYAMACA,2020,10250.0
CUYAMACA,2021,10260.0
CUYAMACA,2022,1021.0
CUYAMACA,2023,993.0
CUYAMACA,2024,1036.0
CYPRESS,2004,1486.0
CYPRESS,2005,1347.0
CYPRESS,2006,1341.0
CYPRESS,2007,1343.0
CYPRESS,2008,26333.0
CYPRESS,2009,25418.0
CYPRESS,2010,23838.0
CYPRESS,2011,24320.0
CYPRESS,2012,515.0
CYPRESS,2013,570.0
CYPRESS,2014,575.0
CYPRESS,2015,544.0
CYPRESS,2016,508.0
CYPRESS,2017,518.0
CYPRESS,2018,6724.0
CYPRESS,2019,6733.0
CYPRESS,2020,6898.0
CYPRESS,2021,6387.0
CYPRESS,2022,761.0
CYPRESS,2023,734.0
CYPRESS,2024,710.0
DE ANZA,2004,3628.0
DE ANZA,2005,3533.0
DE ANZA,2006,3394.0
DE ANZA,2007,3502.0
DE ANZA,2008,11843.0
DE ANZA,2009,12481.0
DE ANZA,2010,12230.0
DE ANZA,2011,10484.0
DE ANZA,2012,79.0
DE ANZA,2013,73.0
DE ANZA,2014,92.0
DE ANZA,2015,118.0
DE ANZA,2016,178.0
DE ANZA,2017,180.0
DE ANZA,2018,13934.0
DE ANZA,2019,13942.0
DE ANZA,2020,13670.0
DE ANZA,2021,12345.0
DE ANZA,2022,1824.0
DE ANZA,2023,1803.0
DE ANZA,2024,1723.0
DESERT,2004,1010.0
DESERT,2005,927.0
DESERT,2006,907.0
DESERT,2007,934.0
DESERT,2008,140.0
DESERT,2009,131.0
DESERT,2010,168.0
DESERT,2011,238.0
DESERT,2012,515.0
DESERT,2013,534.0
DESERT,2014,523.0
DESERT,2015,530.0
DESERT,2016,567.0
DESERT,2017,568.0
DESERT,2018,14502.0
DESERT,2019,13971.0
DESERT,2020,14689.0
DESERT,2021,13546.0
DESERT,2022,394.0
DESERT,2023,335.0
DESERT,2024,323.0
DIABLO VALLEY,2004,1358.0
DIABLO VALLEY,2005,1427.0
DIABLO VALLEY,2006,1206.0
DIABLO VALLEY,2007,1134.0
DIABLO VALLEY,2008,1812.0
DIABLO VALLEY,2009,1769.0
DIABLO VALLEY,2010,1723.0
DIABLO VALLEY,2011,1759.0
DIABLO VALLEY,2012,1125.0
DIABLO VALLEY,2013,1178.0
DIABLO VALLEY,2014,1224.0
DIABLO VALLEY,2015,1196.0
DIABLO VALLEY,2016,1254.0
DIABLO VALLEY,2017,1322.0
DIABLO VALLEY,2018,11560.0
DIABLO VALLEY,2019,12136.0
DIABLO VALLEY,2020,10436.0
DIABLO VALLEY,2021,9701.0
DIABLO VALLEY,2022,966.0
DIABLO VALLEY,2023,917.0
DIABLO VALLEY,2024,908.0
EAST LOS ANGELES,2004,1406.0
EAST LOS ANGELES,2005,1514.0
EAST LOS ANGELES,2006,1522.0
EAST LOS ANGELES,2007,1661.0
EAST LOS ANGELES,2008,27430.0
EAST LOS ANGELES,2009,27307.0
EAST LOS ANGELES,2010,24777.0
EAST LOS ANGELES,2011,24499.0
EAST LOS ANGELES,2012,1839.0
EAST LOS ANGELES,2013,1855.0
EAST LOS ANGELES,2014,2000.0
EAST LOS ANGELES,2015,2182.0
EAST LOS ANGELES,2016,2689.0
EAST LOS ANGELES,2017,2532.0
EAST LOS ANGELES,2018,17343.0
EAST LOS ANGELES,2019,17147.0
EAST LOS ANGELES,2020,16551.0
EAST LOS ANGELES,2021,15396.0
EAST LOS ANGELES,2022,1114.0
EAST LOS ANGELES,2023,1007.0
EAST LOS ANGELES,2024,1008.0
EL CAMINO,2004,285.0
EL CAMINO,2005,509.0
EL CAMINO,2006,613.0
EL CAMINO,2007,680.0
EL CAMINO,2008,11121.0
EL CAMINO,2009,10713.0
EL CAMINO,2010,10567.0
EL CAMINO,2011,10563.0
EL CAMINO,2012,930.0
EL CAMINO,2013,956.0
EL CAMINO,2014,928.0
EL CAMINO,2015,790.0
EL CAMINO,2016,739.0
EL CAMINO,2017,734.0
EL CAMINO,2018,33486.0
EL CAMINO,2019,31909.0
EL CAMINO,2020,27268.0
EL CAMINO,2021,25553.0
EL CAMINO,2022,480.0
EL CAMINO,2023,421.0
EL CAMINO,2024,378.0
EVERGREEN VALLEY,2004,151.0
EVERGREEN VALLEY,2005,166.0
EVERGREEN VALLEY,2006,209.0
EVERGREEN VALLEY,2007,241.0
EVERGREEN VALLEY,2008,1964.0
EVERGREEN VALLEY,2009,2292.0
EVERGREEN VALLEY,2010,1865.0
EVERGREEN VALLEY,2011,1505.0
EVERGREEN VALLEY,2012,322.0
EVERGREEN VALLEY,2013,348.0
EVERGREEN VALLEY,2014,352.0
EVERGREEN VALLEY,2015,369.0
EVERGREEN VALLEY,2016,356.0
EVERGREEN VALLEY,2017,344.0
EVERGREEN VALLEY,2018,9734.0
EVERGREEN VALLEY,2019,9853.0
EVERGREEN VALLEY,2020,8837.0
EVERGREEN VALLEY,2021,8245.0
EVERGREEN VALLEY,2022,1081.0
EVERGREEN VALLEY,2023,1066.0
EVERGREEN VALLEY,2024,892.0
FEATHER RIVER,2004,3.0
FEATHER RIVER,2005,3.0
FEATHER RIVER,2006,4.0
FEATHER RIVER,2007,8.0
FEATHER RIVER,2008,75.0
FEATHER RIVER,2009,83.0
FEATHER RIVER,2010,71.0
FEATHER RIVER,2011,82.0
FEATHER RIVER,2012,8.0
FEATHER RIVER,2013,8.0
FEATHER RIVER,2014,65.0
FEATHER RIVER,2015,22.0
FEATHER RIVER,2016,28.0
FEATHER RIVER,2017,33.0
FEATHER RIVER,2018,2123.0
FEATHER RIVER,2019,1874.0
FEATHER RIVER,2020,1921.0
FEATHER RIVER,2021,1386.0
FEATHER RIVER,2022,27.0
FEATHER RIVER,2023,28.0
FEATHER RIVER,2024,44.0
FOLSOM LAKE,2004,41.0
FOLSOM LAKE,2005,41.0
FOLSOM LAKE,2006,55.0
FOLSOM LAKE,2007,73.0
FOLSOM LAKE,2008,339.0
FOLSOM LAKE,2009,320.0
FOLSOM LAKE,2010,483.0
FOLSOM LAKE,2011,95.0
FOLSOM LAKE,2012,82.0
FOLSOM LAKE,2013,85.0
FOLSOM LAKE,2014,101.0
FOLSOM LAKE,2015,114.0
FOLSOM LAKE,2016,120.0
FOLSOM LAKE,2017,112.0
FOLSOM LAKE,2018,8734.0
FOLSOM LAKE,2019,9107.0
FOLSOM LAKE,2020,9744.0
FOLSOM LAKE,2021,9143.0
FOLSOM LAKE,2022,567.0
FOLSOM LAKE,2023,592.0
FOLSOM LAKE,2024,627.0
FOOTHILL,2004,422.0
FOOTHILL,2005,374.0
FOOTHILL,2006,360.0
FOOTHILL,2007,316.0
FOOTHILL,2008,9.0
FOOTHILL,2009,10.0
FOOTHILL,2010,7.0
FOOTHILL,2011,1.0
FOOTHILL,2012,96.0
FOOTHILL,2013,229.0
FOOTHILL,2014,218.0
FOOTHILL,2015,316.0
FOOTHILL,2016,335.0
FOOTHILL,2017,447.0
FOOTHILL,2018,17024.0
FOOTHILL,2019,16768.0
FOOTHILL,2020,16259.0
FOOTHILL,2021,13918.0
FOOTHILL,2022,991.0
FOOTHILL,2023,892.0
FOOTHILL,2024,925.0
FRESNO CITY,2004,16.0
FRESNO CITY,2005,9.0
FRESNO CITY,2006,11.0
FRESNO CITY,2007,6.0
FRESNO CITY,2008,702.0
FRESNO CITY,2009,699.0
FRESNO CITY,2010,708.0
FRESNO CITY,2011,669.0
FRESNO CITY,2012,2.0
FRESNO CITY,2013,5.0
FRESNO CITY,2014,15.0
FRESNO CITY,2015,22.0
FRESNO CITY,2016,35.0
FRESNO CITY,2017,34.0
FRESNO CITY,2018,25064.0
FRESNO CITY,2019,25507.0
FRESNO CITY,2020,22754.0
FRESNO CITY,2021,20993.0
FRESNO CITY,2022,90.0
FRESNO CITY,2023,106.0
FRESNO CITY,2024,86.0
FULLERTON,2004,604.0
FULLERTON,2005,553.0
FULLERTON,2006,570.0
FULLERTON,2007,649.0
FULLERTON,2008,9486.0
FULLERTON,2009,9728.0
FULLERTON,2010,9347.0
FULLERTON,2011,8756.0
FULLERTON,2012,20073.0
FULLERTON,2013,24644.0
FULLERTON,2014,25424.0
FULLERTON,2015,25203.0
FULLERTON,2016,24907.0
FULLERTON,2017,24544.0
FULLERTON,2018,23031.0
FULLERTON,2019,23015.0
FULLERTON,2020,21785.0
FULLERTON,2021,18742.0
FULLERTON,2022,687.0
FULLERTON,2023,611.0
FULLERTON,2024,572.0
GAVILAN,2004,25.0
GAVILAN,2005,25.0
GAVILAN,2006,29.0
GAVILAN,2007,25.0
GAVILAN,2008,23612.0
GAVILAN,2009,24203.0
GAVILAN,2010,22639.0
GAVILAN,2011,21907.0
GAVILAN,2012,7657.0
GAVILAN,2013,6706.0
GAVILAN,2014,6435.0
GAVILAN,2015,7066.0
GAVILAN,2016,6977.0
GAVILAN,2017,7149.0
GAVILAN,2018,6929.0
GAVILAN,2019,6800.0
GAVILAN,2020,5198.0
GAVILAN,2021,5495.0
GAVILAN,2022,230.0
GAVILAN,2023,260.0
GAVILAN,2024,263.0
GLENDALE,2004,2807.0
GLENDALE,2005,2788.0
GLENDALE,2006,2712.0
GLENDALE,2007,2238.0
GLENDALE,2008,13633.0
GLENDALE,2009,14078.0
GLENDALE,2010,14053.0
GLENDALE,2011,13690.0
GLENDALE,2012,21039.0
GLENDALE,2013,20932.0
GLENDALE,2014,20017.0
GLENDALE,2015,20241.0
GLENDALE,2016,20053.0
GLENDALE,2017,19357.0
GLENDALE,2018,18186.0
GLENDALE,2019,17569.0
GLENDALE,2020,15265.0
GLENDALE,2021,14066.0
GLENDALE,2022,2263.0
GLENDALE,2023,2275.0
GLENDALE,2024,2586.0
GOLDEN WEST,2004,14156.0
GOLDEN WEST,2005,14057.0
GOLDEN WEST,2006,13319.0
GOLDEN WEST,2007,14010.0
GOLDEN WEST,2008,11104.0
GOLDEN WEST,2009,10109.0
GOLDEN WEST,2010,10140.0
GOLDEN WEST,2011,9579.0
GOLDEN WEST,2012,12455.0
GOLDEN WEST,2013,12743.0
GOLDEN WEST,2014,12482.0
GOLDEN WEST,2015,12148.0
GOLDEN WEST,2016,11962.0
GOLDEN WEST,2017,11796.0
GOLDEN WEST,2018,11964.0
GOLDEN WEST,2019,13047.0
GOLDEN WEST,2020,11908.0
GOLDEN WEST,2021,10692.0
GOLDEN WEST,2022,527.0
