cc_name,uc_campus,year,total_major_enrolls
CANYONS,Davis,2018,4
CANYONS,Davis,2019,3
CANYONS,Davis,2020,3
CANYONS,Davis,2021,6
CANYONS,Davis,2022,9
CANYONS,Davis,2024,6
CANYONS,Irvine,2013,3
CANYONS,Irvine,2014,4
CANYONS,Irvine,2015,10
CANYONS,Irvine,2016,7
CANYONS,Irvine,2017,18
CANYONS,Irvine,2018,22
CANYONS,Irvine,2019,16
CANYONS,Irvine,2020,14
CANYONS,Irvine,2021,23
CANYONS,Irvine,2022,23
CANYONS,Irvine,2023,30
CANYONS,Irvine,2024,15
CANYONS,Los Angeles,2013,33
CANYONS,Los Angeles,2014,37
CANYONS,Los Angeles,2015,26
CANYONS,Los Angeles,2016,55
CANYONS,Los Angeles,2017,49
CANYONS,Los Angeles,2018,37
CANYONS,Los Angeles,2019,33
CANYONS,Los Angeles,2020,47
CANYONS,Los Angeles,2021,49
CANYONS,Los Angeles,2022,48
CANYONS,Los Angeles,2023,54
CANYONS,Los Angeles,2024,46
CANYONS,Riverside,2019,8
CANYONS,Riverside,2020,4
CANYONS,Riverside,2022,11
CANYONS,Riverside,2023,6
CANYONS,Riverside,2024,3
CANYONS,San Diego,2014,5
CANYONS,San Diego,2015,10
CANYONS,San Diego,2016,9
CANYONS,San Diego,2017,15
CANYONS,San Diego,2018,30
CANYONS,San Diego,2019,8
CANYONS,San Diego,2020,19
CANYONS,San Diego,2021,18
CANYONS,San Diego,2022,14
CANYONS,San Diego,2023,12
CANYONS,San Diego,2024,34
CANYONS,Santa Barbara,2013,19
CANYONS,Santa Barbara,2014,17
CANYONS,Santa Barbara,2015,15
CANYONS,Santa Barbara,2016,8
CANYONS,Santa Barbara,2017,48
CANYONS,Santa Barbara,2018,25
CANYONS,Santa Barbara,2019,45
CANYONS,Santa Barbara,2020,37
CANYONS,Santa Barbara,2021,35
CANYONS,Santa Barbara,2022,35
CANYONS,Santa Barbara,2023,44
CANYONS,Santa Barbara,2024,26
CANYONS,Santa Cruz,2013,4
CANYONS,Santa Cruz,2016,5
CANYONS,Santa Cruz,2018,4
CANYONS,Santa Cruz,2019,13
CANYONS,Santa Cruz,2020,9
CANYONS,Santa Cruz,2022,3
CANYONS,Santa Cruz,2023,5
CANYONS,Santa Cruz,2024,8
CERRITOS,Berkeley,2013,8
CERRITOS,Berkeley,2014,3
CERRITOS,Berkeley,2015,6
CERRITOS,Berkeley,2019,3
CERRITOS,Berkeley,2020,3
CERRITOS,Berkeley,2021,3
CERRITOS,Berkeley,2022,7
CERRITOS,Berkeley,2023,8
CERRITOS,Irvine,2013,23
CERRITOS,Irvine,2014,24
CERRITOS,Irvine,2015,28
CERRITOS,Irvine,2016,18
CERRITOS,Irvine,2017,20
CERRITOS,Irvine,2018,17
CERRITOS,Irvine,2019,16
CERRITOS,Irvine,2020,9
CERRITOS,Irvine,2021,6
CERRITOS,Irvine,2022,14
CERRITOS,Irvine,2023,21
CERRITOS,Irvine,2024,23
CERRITOS,Los Angeles,2013,8
CERRITOS,Los Angeles,2014,10
CERRITOS,Los Angeles,2015,16
CERRITOS,Los Angeles,2016,14
CERRITOS,Los Angeles,2017,19
CERRITOS,Los Angeles,2018,16
CERRITOS,Los Angeles,2019,14
CERRITOS,Los Angeles,2020,16
CERRITOS,Los Angeles,2021,19
CERRITOS,Los Angeles,2022,12
CERRITOS,Los Angeles,2023,9
CERRITOS,Los Angeles,2024,20
CERRITOS,Riverside,2013,10
CERRITOS,Riverside,2014,11
CERRITOS,Riverside,2015,4
CERRITOS,Riverside,2016,9
CERRITOS,Riverside,2019,4
CERRITOS,Riverside,2020,12
CERRITOS,Riverside,2021,8
CERRITOS,Riverside,2022,7
CERRITOS,Riverside,2023,5
CERRITOS,Riverside,2024,3
CERRITOS,San Diego,2013,6
CERRITOS,San Diego,2014,8
CERRITOS,San Diego,2015,4
CERRITOS,San Diego,2019,6
CERRITOS,San Diego,2023,3
CERRITOS,San Diego,2024,3
CERRITOS,Santa Barbara,2013,10
CERRITOS,Santa Barbara,2014,4
CERRITOS,Santa Barbara,2015,7
CERRITOS,Santa Barbara,2016,3
CERRITOS,Santa Barbara,2017,4
CERRITOS,Santa Barbara,2018,5
CERRITOS,Santa Barbara,2019,3
CERRITOS,Santa Barbara,2020,7
CERRITOS,Santa Barbara,2021,3
CERRITOS,Santa Barbara,2023,3
CERRO COSO,Irvine,2018,3
CHABOT,Berkeley,2013,18
CHABOT,Berkeley,2014,24
CHABOT,Berkeley,2015,13
CHABOT,Berkeley,2016,16
CHABOT,Berkeley,2017,21
CHABOT,Berkeley,2018,28
CHABOT,Berkeley,2019,29
CHABOT,Berkeley,2020,43
CHABOT,Berkeley,2021,28
CHABOT,Berkeley,2022,35
CHABOT,Berkeley,2023,26
CHABOT,Berkeley,2024,23
CHABOT,Davis,2013,18
CHABOT,Davis,2014,22
CHABOT,Davis,2015,19
CHABOT,Davis,2016,11
CHABOT,Davis,2017,27
CHABOT,Davis,2018,40
CHABOT,Davis,2019,38
CHABOT,Davis,2020,22
CHABOT,Davis,2021,21
CHABOT,Davis,2022,18
CHABOT,Davis,2023,15
CHABOT,Davis,2024,34
CHABOT,Irvine,2019,4
CHABOT,Irvine,2020,3
CHABOT,Irvine,2021,7
CHABOT,Irvine,2023,6
CHABOT,Irvine,2024,15
CHABOT,Los Angeles,2014,3
CHABOT,Los Angeles,2015,3
CHABOT,Los Angeles,2016,4
CHABOT,Los Angeles,2019,3
CHABOT,Los Angeles,2020,4
CHABOT,Los Angeles,2021,3
CHABOT,Riverside,2016,5
CHABOT,Riverside,2019,5
CHABOT,Riverside,2021,3
CHABOT,Riverside,2023,3
CHABOT,Riverside,2024,3
CHABOT,San Diego,2014,6
CHABOT,San Diego,2015,10
CHABOT,San Diego,2016,6
CHABOT,San Diego,2017,4
CHABOT,San Diego,2018,3
CHABOT,San Diego,2019,5
CHABOT,San Diego,2020,4
CHABOT,San Diego,2022,3
CHABOT,San Diego,2023,3
CHABOT,San Diego,2024,3
CHABOT,Santa Barbara,2013,3
CHABOT,Santa Barbara,2014,4
CHABOT,Santa Barbara,2015,3
CHABOT,Santa Barbara,2016,3
CHABOT,Santa Barbara,2017,13
CHABOT,Santa Barbara,2018,8
CHABOT,Santa Barbara,2019,3
CHABOT,Santa Barbara,2020,5
CHABOT,Santa Barbara,2021,3
CHABOT,Santa Barbara,2022,3
CHABOT,Santa Barbara,2023,3
CHABOT,Santa Barbara,2024,3
CHABOT,Santa Cruz,2017,3
CHABOT,Santa Cruz,2019,7
CHABOT,Santa Cruz,2020,7
CHABOT,Santa Cruz,2021,3
CHABOT,Santa Cruz,2022,8
CHABOT,Santa Cruz,2024,4
CHAFFEY,Berkeley,2014,6
CHAFFEY,Berkeley,2015,4
CHAFFEY,Berkeley,2016,4
CHAFFEY,Berkeley,2018,5
CHAFFEY,Berkeley,2021,3
CHAFFEY,Berkeley,2023,3
CHAFFEY,Berkeley,2024,3
CHAFFEY,Irvine,2013,6
CHAFFEY,Irvine,2014,3
CHAFFEY,Irvine,2016,3
CHAFFEY,Irvine,2017,7
CHAFFEY,Irvine,2018,13
CHAFFEY,Irvine,2019,12
CHAFFEY,Irvine,2020,5
CHAFFEY,Irvine,2021,14
CHAFFEY,Irvine,2022,7
CHAFFEY,Irvine,2023,17
CHAFFEY,Los Angeles,2013,16
CHAFFEY,Los Angeles,2014,12
CHAFFEY,Los Angeles,2015,8
CHAFFEY,Los Angeles,2016,16
CHAFFEY,Los Angeles,2017,4
CHAFFEY,Los Angeles,2018,8
CHAFFEY,Los Angeles,2019,9
CHAFFEY,Los Angeles,2020,3
CHAFFEY,Los Angeles,2021,18
CHAFFEY,Los Angeles,2022,13
CHAFFEY,Los Angeles,2023,10
CHAFFEY,Los Angeles,2024,17
CHAFFEY,Riverside,2013,28
CHAFFEY,Riverside,2014,27
CHAFFEY,Riverside,2015,21
CHAFFEY,Riverside,2016,28
CHAFFEY,Riverside,2017,39
CHAFFEY,Riverside,2018,41
CHAFFEY,Riverside,2019,65
CHAFFEY,Riverside,2020,74
CHAFFEY,Riverside,2021,62
CHAFFEY,Riverside,2022,59
CHAFFEY,Riverside,2023,58
CHAFFEY,Riverside,2024,44
CHAFFEY,San Diego,2018,3
CHAFFEY,San Diego,2019,3
CHAFFEY,San Diego,2020,4
CHAFFEY,San Diego,2021,5
CHAFFEY,San Diego,2023,3
CHAFFEY,San Diego,2024,3
CHAFFEY,Santa Barbara,2018,6
CHAFFEY,Santa Barbara,2019,3
CHAFFEY,Santa Barbara,2022,6
CITRUS,Berkeley,2013,3
CITRUS,Berkeley,2015,5
CITRUS,Berkeley,2017,3
CITRUS,Berkeley,2019,3
CITRUS,Berkeley,2022,10
CITRUS,Berkeley,2023,4
CITRUS,Berkeley,2024,6
CITRUS,Davis,2013,3
CITRUS,Davis,2015,3
CITRUS,Irvine,2013,3
CITRUS,Irvine,2015,9
CITRUS,Irvine,2016,6
CITRUS,Irvine,2017,3
CITRUS,Irvine,2018,21
CITRUS,Irvine,2019,8
CITRUS,Irvine,2020,20
CITRUS,Irvine,2021,25
CITRUS,Irvine,2022,22
CITRUS,Irvine,2023,14
CITRUS,Irvine,2024,22
CITRUS,Los Angeles,2013,8
CITRUS,Los Angeles,2014,11
CITRUS,Los Angeles,2015,19
CITRUS,Los Angeles,2016,19
CITRUS,Los Angeles,2017,28
CITRUS,Los Angeles,2018,13
CITRUS,Los Angeles,2019,11
CITRUS,Los Angeles,2020,11
CITRUS,Los Angeles,2021,14
CITRUS,Los Angeles,2022,14
CITRUS,Los Angeles,2023,15
CITRUS,Los Angeles,2024,15
CITRUS,Riverside,2013,11
CITRUS,Riverside,2014,3
CITRUS,Riverside,2015,11
CITRUS,Riverside,2016,8
CITRUS,Riverside,2017,3
CITRUS,Riverside,2018,7
CITRUS,Riverside,2019,20
CITRUS,Riverside,2020,22
CITRUS,Riverside,2021,29
CITRUS,Riverside,2022,16
CITRUS,Riverside,2023,3
CITRUS,Riverside,2024,9
CITRUS,San Diego,2013,3
CITRUS,San Diego,2015,11
CITRUS,San Diego,2016,4
CITRUS,San Diego,2017,13
CITRUS,San Diego,2019,3
CITRUS,San Diego,2020,10
CITRUS,San Diego,2021,22
CITRUS,San Diego,2022,26
CITRUS,San Diego,2023,13
CITRUS,San Diego,2024,5
CITRUS,Santa Barbara,2013,3
CITRUS,Santa Barbara,2014,4
CITRUS,Santa Barbara,2015,4
CITRUS,Santa Barbara,2016,11
CITRUS,Santa Barbara,2017,8
CITRUS,Santa Barbara,2019,6
CITRUS,Santa Barbara,2020,6
CITRUS,Santa Barbara,2021,18
CITRUS,Santa Barbara,2022,5
CITRUS,Santa Cruz,2013,3
CITRUS,Santa Cruz,2019,5
CITY OF SAN FRANCISCO,Berkeley,2024,64
CITY OF SAN FRANCISCO,Davis,2024,53
CITY OF SAN FRANCISCO,Irvine,2024,4
CITY OF SAN FRANCISCO,Los Angeles,2024,6
CITY OF SAN FRANCISCO,Riverside,2024,6
CITY OF SAN FRANCISCO,San Diego,2024,26
CITY OF SAN FRANCISCO,Santa Barbara,2024,7
CITY OF SAN FRANCISCO,Santa Cruz,2024,23
CITY SAN FRANCISCO,Berkeley,2013,111
CITY SAN FRANCISCO,Berkeley,2014,91
CITY SAN FRANCISCO,Berkeley,2015,101
CITY SAN FRANCISCO,Berkeley,2016,70
CITY SAN FRANCISCO,Berkeley,2017,76
CITY SAN FRANCISCO,Berkeley,2018,68
CITY SAN FRANCISCO,Berkeley,2019,87
CITY SAN FRANCISCO,Berkeley,2020,82
CITY SAN FRANCISCO,Berkeley,2021,74
CITY SAN FRANCISCO,Berkeley,2022,62
CITY SAN FRANCISCO,Berkeley,2023,78
CITY SAN FRANCISCO,Davis,2013,91
CITY SAN FRANCISCO,Davis,2014,99
CITY SAN FRANCISCO,Davis,2015,107
CITY SAN FRANCISCO,Davis,2016,39
CITY SAN FRANCISCO,Davis,2017,61
CITY SAN FRANCISCO,Davis,2018,54
CITY SAN FRANCISCO,Davis,2019,40
CITY SAN FRANCISCO,Davis,2020,48
CITY SAN FRANCISCO,Davis,2021,80
CITY SAN FRANCISCO,Davis,2022,58
CITY SAN FRANCISCO,Davis,2023,53
CITY SAN FRANCISCO,Irvine,2013,3
CITY SAN FRANCISCO,Irvine,2014,3
CITY SAN FRANCISCO,Irvine,2015,3
CITY SAN FRANCISCO,Irvine,2016,5
CITY SAN FRANCISCO,Irvine,2018,4
CITY SAN FRANCISCO,Irvine,2019,9
CITY SAN FRANCISCO,Irvine,2020,8
CITY SAN FRANCISCO,Irvine,2021,4
CITY SAN FRANCISCO,Irvine,2022,9
CITY SAN FRANCISCO,Irvine,2023,6
CITY SAN FRANCISCO,Los Angeles,2013,20
CITY SAN FRANCISCO,Los Angeles,2014,3
CITY SAN FRANCISCO,Los Angeles,2015,21
CITY SAN FRANCISCO,Los Angeles,2016,14
CITY SAN FRANCISCO,Los Angeles,2017,4
CITY SAN FRANCISCO,Los Angeles,2019,18
CITY SAN FRANCISCO,Los Angeles,2020,8
CITY SAN FRANCISCO,Los Angeles,2021,16
CITY SAN FRANCISCO,Los Angeles,2022,3
CITY SAN FRANCISCO,Los Angeles,2023,3
CITY SAN FRANCISCO,Merced,2020,3
CITY SAN FRANCISCO,Merced,2022,3
CITY SAN FRANCISCO,Riverside,2014,4
CITY SAN FRANCISCO,Riverside,2019,3
CITY SAN FRANCISCO,Riverside,2021,6
CITY SAN FRANCISCO,Riverside,2022,12
CITY SAN FRANCISCO,Riverside,2023,12
CITY SAN FRANCISCO,San Diego,2013,6
CITY SAN FRANCISCO,San Diego,2014,23
CITY SAN FRANCISCO,San Diego,2015,14
CITY SAN FRANCISCO,San Diego,2016,8
CITY SAN FRANCISCO,San Diego,2017,16
CITY SAN FRANCISCO,San Diego,2018,9
CITY SAN FRANCISCO,San Diego,2019,14
CITY SAN FRANCISCO,San Diego,2020,13
CITY SAN FRANCISCO,San Diego,2021,7
CITY SAN FRANCISCO,San Diego,2022,5
CITY SAN FRANCISCO,San Diego,2023,12
CITY SAN FRANCISCO,Santa Barbara,2013,13
CITY SAN FRANCISCO,Santa Barbara,2014,5
CITY SAN FRANCISCO,Santa Barbara,2015,11
CITY SAN FRANCISCO,Santa Barbara,2016,9
CITY SAN FRANCISCO,Santa Barbara,2017,8
CITY SAN FRANCISCO,Santa Barbara,2018,14
CITY SAN FRANCISCO,Santa Barbara,2019,6
CITY SAN FRANCISCO,Santa Barbara,2020,6
CITY SAN FRANCISCO,Santa Barbara,2021,12
CITY SAN FRANCISCO,Santa Cruz,2013,25
CITY SAN FRANCISCO,Santa Cruz,2014,12
CITY SAN FRANCISCO,Santa Cruz,2015,26
CITY SAN FRANCISCO,Santa Cruz,2016,24
