,learning_rate,num_leaves,max_depth,subsample,colsample_bytree,lambda_l2,stopping_rounds,n_estimators,best_iteration,split,train_mse,train_rmse,train_mae,train_r2,valid_mse,valid_rmse,valid_mae,valid_r2,rmse_gap_train_valid
53,0.04,40,7,0.8,0.8,1,200,3000,1763,valid,0.0029291353443709305,0.054121486900961344,0.035274082217779036,0.9358647348832191,0.021651137188431997,0.14714325396847794,0.11121945333225708,0.49684158420515023,-0.0930217670675166
96,0.06,40,-1,0.8,0.8,0,200,3000,1072,valid,0.0017596221453794877,0.041947850307012015,0.025430135084638636,0.9614719637260364,0.02165609794884849,0.1471601099104254,0.11043711530629687,0.4967262993436403,-0.1052122596034134
50,0.04,40,7,0.8,0.8,0,200,3000,1360,valid,0.004063765942620302,0.06374767401733417,0.04310579743709834,0.9110212825763189,0.021666581870170325,0.14719572639913947,0.11130269714548642,0.4964826597972414,-0.0834480523818053
8,0.02,40,7,0.8,0.8,5,200,3000,2997,valid,0.003987270949079081,0.06314484103297023,0.04255536744357875,0.91269618868822,0.021670066031719316,0.14720756105485655,0.11046050473947257,0.4964016901377677,-0.08406272002188632
125,0.06,90,7,0.8,0.8,1,200,3000,910,valid,0.0036979647002536244,0.060810892940768635,0.040595350280956975,0.9190307314071215,0.021670510392135783,0.1472090703460075,0.11086656172605595,0.49639136348927604,-0.08639817740523886
2,0.02,40,7,0.8,0.8,0,200,3000,2480,valid,0.004347364628723219,0.06593454806642128,0.04475026398470643,0.9048117105417129,0.021697570733871942,0.14730095292927314,0.1110039850050997,0.4957624986605912,-0.08136640486285186
102,0.06,40,-1,0.8,0.8,5,200,3000,1210,valid,0.001746151210910822,0.04178697417749725,0.025250076165194972,0.961766918329339,0.021698068498977274,0.1473026425390165,0.11013133710387701,0.4957509309216934,-0.10551566836151927
17,0.02,60,7,0.8,0.8,1,200,3000,2124,valid,0.0047101719602076556,0.0686306925522951,0.04702729195299628,0.8968678152772681,0.02175117581180254,0.1474827983590037,0.11114093417000237,0.4945167513423151,-0.07885210580670858
41,0.02,120,7,0.8,0.8,1,200,3000,2619,valid,0.00389983434290224,0.062448653651638,0.041893241817630086,0.9146106683072106,0.021755402511890103,0.14749712713097196,0.11099532811786465,0.4944185255677708,-0.08504847347933396
29,0.02,90,7,0.8,0.8,1,200,3000,2619,valid,0.00389983434290224,0.062448653651638,0.041893241817630086,0.9146106683072106,0.021755402511890103,0.14749712713097196,0.11099532811786465,0.4944185255677708,-0.08504847347933396
92,0.04,120,7,0.8,0.8,5,200,3000,1563,valid,0.0036161676661486245,0.06013457962061949,0.03997513510845547,0.92082172903998,0.021832508387603013,0.14775827688357432,0.11136481778713213,0.4926266349185854,-0.08762369726295482
14,0.02,60,7,0.8,0.8,0,200,3000,2495,valid,0.004020573009907862,0.06340798853384219,0.04279381002172044,0.9119670190701982,0.021834765120555037,0.14776591325659325,0.11113951635721624,0.4925741899053221,-0.08435792472275105
137,0.06,120,7,0.8,0.8,1,200,3000,1048,valid,0.003160186044040284,0.05621553205334166,0.037011959773889554,0.9308057341418606,0.021846067550111318,0.14780415268222782,0.11085422283286167,0.49231152875728734,-0.09158862062888616
98,0.06,40,7,0.8,0.8,0,200,3000,1154,valid,0.002928809369270569,0.05411847530437798,0.035425671800262536,0.9358718723135613,0.02185302268010883,0.1478276790053501,0.11083317933491632,0.4921498960374566,-0.09370920370097212
62,0.04,60,7,0.8,0.8,0,200,3000,1027,valid,0.004810154979727182,0.06935528083518357,0.04758207206532119,0.8946786240279173,0.021855310100687583,0.1478354155833019,0.11193818559108039,0.49209673786360886,-0.07848013474811834
116,0.06,60,7,0.8,0.8,5,200,3000,909,valid,0.003913649606482455,0.0625591688442426,0.04215523014512745,0.9143081744009192,0.0218797220528596,0.14791795716835598,0.11096382569683914,0.4915294198943757,-0.08535878832411338
91,0.04,120,5,0.8,0.8,5,200,3000,2155,valid,0.005594108063509982,0.07479377021858159,0.05213876610273787,0.8775134769942878,0.021885898456123005,0.14793883349588438,0.11210053610888933,0.4913858842798591,-0.07314506327730279
79,0.04,90,5,0.8,0.8,5,200,3000,2155,valid,0.005594108063509982,0.07479377021858159,0.05213876610273787,0.8775134769942878,0.021885898456123005,0.14793883349588438,0.11210053610888933,0.4913858842798591,-0.07314506327730279
55,0.04,40,5,0.8,0.8,5,200,3000,2155,valid,0.005594108063509982,0.07479377021858159,0.05213876610273787,0.8775134769942878,0.021885898456123005,0.14793883349588438,0.11210053610888933,0.4913858842798591,-0.07314506327730279
