year,college,math_retention_rate,math_success_rate,english_retention_rate,english_success_rate,eops_headcount,eops_care_headcount,aid_ftft_pell_grant_rate,aid_ftft_federal_loan_rate,aid_pell_grant_rate,aid_federal_loan_rate,aid_loan_principal,aid_median_debt_first_generation_students,aid_median_debt_non_first_generation_students,student_demographics_student_faculty_ratio,cost_avg_net_price_public,cost_net_price_public_by_income_level_0_30000,cost_net_price_public_by_income_level_30001_48000,cost_net_price_public_by_income_level_48001_75000,cost_net_price_public_by_income_level_75001_110000,cost_title_iv_public_by_income_level_0_30000,cost_title_iv_public_by_income_level_30001_48000,cost_title_iv_public_by_income_level_48001_75000,cost_attendance_academic_year,cost_tuition_in_state,cost_tuition_out_of_state,cost_booksupply,cost_roomboard_offcampus,cost_otherexpense_offcampus,cost_otherexpense_withfamily,completion_title_iv_transf_completed_4yr_by_4yrs,aid_median_debt_income_0_30000,percent_stem,percent_social_science
2013,Bakersfield,0.8579881656804734,0.6686390532544378,0.8784722222222222,0.6597222222222222,98.0,10.0,0.3851,0.0,0.2235,0.0,3685.714285714286,4622.68556701031,4650.407216494846,18.0,5109.0,4978.0,5084.0,7896.0,12295.0,40.0,12.0,2.0,10124.0,1221.0,6642.0,1710.0,11268.0,4023.0,4023.0,0.053571429,4736.358585858586,0.0804,0.3519
2012,Bakersfield,0.7688679245283019,0.5256064690026954,0.7984775641025641,0.6233974358974359,941.0,104.0,0.7394,0.0,0.5273,0.0,3215.0,4405.082474226804,4545.298969072165,26.0,3249.0,3249.0,9323.0,11273.0,12617.0,778.0,0.0,0.0,9023.0,1138.0,5890.0,1620.0,10980.0,3897.0,4041.0,0.031746032,4750.0,0.048299999999999996,0.49710000000000004
2014,Bakersfield,0.854911838790932,0.690176322418136,0.8537414965986394,0.7201166180758017,189.0,23.0,0.4277,0.0059,0.254,0.0165,6000.0,5375.0,6000.0,21.0,9450.0,8366.0,9355.0,11426.0,13134.0,114.0,45.0,56.0,15445.0,1142.0,5942.0,1746.0,11493.0,4149.0,4266.0,0.053097345,5750.0,0.0161,0.3749
2016,Bakersfield,0.8405904059040591,0.6442804428044281,0.881238155401137,0.7012002526847757,815.0,42.0,0.5757,0.1042,0.3992,0.0614,4500.0,4303.0,4740.5,21.0,4066.0,3438.0,4014.0,6565.0,7729.0,145.0,40.0,27.0,10608.0,1142.0,6230.0,1791.0,11493.0,3390.0,3194.0,0.0329004329,4371.0,0.0187,0.2766
2018,Bakersfield,0.869872161801183,0.7319213890478916,0.8776561493882807,0.7733419188667096,858.0,21.0,0.3688,0.0121,0.1696,0.0114,4413.0,4500.0,3500.0,29.0,6155.0,5493.0,6460.0,8457.0,10449.0,170.0,60.0,28.0,12995.0,1144.0,7024.0,1854.0,13293.0,4239.0,4374.0,0.080808080808,4500.0,0.1568,0.3136
2021,Bakersfield,0.8142553693651168,0.6452678782157186,0.8367574810183117,0.6985261277355963,281.0,11.0,0.2777,0.0065,0.1379,0.0085,,,,37.0,2045.0,669.0,1908.0,4431.0,6523.0,118.0,76.0,52.0,10976.0,1156.0,8764.0,1970.0,17253.0,5133.0,4566.0,,,0.18330000000000005,0.1169
2012,Bakersfield,0.9026315789473685,0.6852631578947368,0.90694626474443,0.6631716906946264,1152.0,110.0,0.695,0.102,0.4484,0.1089,5500.0,5750.0,5250.0,26.0,6876.0,6876.0,7708.0,9416.0,9911.0,619.0,0.0,0.0,12619.0,1114.0,4444.0,1656.0,10962.0,4158.0,4275.0,0.039235081,5500.0,0.0236,0.2094
2014,Barstow,0.8098710039259674,0.6522714526079642,0.8252980819077242,0.7086573354069466,398.0,28.0,0.3234,0.0149,0.1492,0.013,5437.0,5500.0,4875.0,25.0,2668.0,2221.0,2683.0,3898.0,5406.0,60.0,15.0,8.0,8489.0,1452.0,8022.0,1638.0,10962.0,4158.0,4275.0,0.052924791,5468.5,0.035800000000000005,0.41719999999999996
2019,Barstow,0.7722411831626849,0.5847554038680318,0.8683954619124797,0.7815235008103728,396.0,9.0,0.454,0.0736,0.1169,0.0222,7000.0,7500.0,5500.0,36.0,7389.0,6776.0,8910.0,9740.0,9871.0,57.0,9.0,8.0,14340.0,1150.0,6670.0,1917.0,13779.0,4248.0,4365.0,0.056771545828,7500.0,0.052899999999999996,0.1329
2020,Barstow,0.7466666666666667,0.5882051282051282,0.8649388048956084,0.7297336213102952,1080.0,49.0,0.5674,0.0061,0.3149,0.0149,7500.0,7600.0,7281.0,25.0,6152.0,5302.0,6093.0,8422.0,10156.0,481.0,195.0,130.0,13711.0,1146.0,8898.0,1971.0,19065.0,5423.0,4781.0,,8220.0,0.0751,0.19519999999999998
2021,Barstow,0.9857411891310196,0.7656712402475114,0.9913414146796324,0.8111096310110564,1287.0,43.0,0.4603,0.024,0.25,0.0247,,,,22.0,9765.0,8663.0,9985.0,11890.0,13891.0,475.0,199.0,170.0,16615.0,1154.0,7802.0,2267.0,19949.0,5873.0,5873.0,,,0.0458,0.1948
2023,Barstow,0.8377381684081131,0.5845113706207744,0.8074804291098869,0.6042331110466802,574.0,47.0,0.5689,0.0018,0.228,0.0059,,,,28.0,11245.0,10367.0,11267.0,12940.0,15961.0,167.0,77.0,58.0,19463.0,1238.0,10050.0,938.0,19431.0,6192.0,5220.0,,,0.0716,0.0928
2013,Barstow,0.7622585438335809,0.6344725111441307,0.7601918465227818,0.6330935251798561,156.0,12.0,0.6566,0.0361,0.44,0.056,5500.0,5221.0,6000.0,32.0,6950.0,6950.0,6405.0,8378.0,10800.0,217.0,0.0,0.0,13014.0,1380.0,9000.0,1656.0,10962.0,4158.0,4275.0,0.049455984,5500.0,0.0695,0.3342
2012,Barstow,0.7776859504132232,0.5892561983471074,0.7763589930682233,0.5979569500182416,995.0,71.0,0.5771,0.0,0.3932,0.0,3375.0,4405.082474226804,4545.298969072165,31.0,6909.0,6909.0,8414.0,9884.0,13017.0,722.0,0.0,0.0,12672.0,1150.0,6046.0,1200.0,10962.0,4126.0,4346.0,0.028934368,4524.865,0.0376,0.35440000000000005
2014,Barstow,0.791156462585034,0.6414965986394557,0.8571428571428571,0.7050847457627119,805.0,115.0,0.6743,0.0,0.3417,0.0,6928.0,4811.164930555556,4830.142361111111,32.0,3241.0,2693.0,3294.0,5606.0,7308.0,227.0,78.0,44.0,9523.0,1388.0,7050.0,1746.0,11493.0,4149.0,4268.0,0.040273038,7500.0,0.0465,0.2227
2016,Barstow,0.8067278287461773,0.6293577981651376,0.8364503816793893,0.6927480916030534,1092.0,73.0,0.4783,0.0262,0.2436,0.0346,6313.5,6750.0,6000.0,27.0,7932.0,7527.0,7748.0,10525.0,12978.0,420.0,99.0,57.0,14372.0,1104.0,7704.0,1792.0,12492.0,4160.0,4420.0,0.05281868969,6708.0,0.13119999999999998,0.4136
2019,Barstow,0.7977266856109533,0.6460862826143116,0.8604513064133017,0.6757719714964371,411.0,8.0,0.205,0.0057,0.0908,0.0062,6500.0,6500.0,5500.0,24.0,1239.0,22.0,799.0,4577.0,5888.0,95.0,44.0,30.0,9731.0,1434.0,9094.0,1971.0,19609.0,5274.0,4698.0,0.111859838275,8329.0,0.1187,0.31970000000000004
2022,Barstow,0.9090909090909092,0.7045454545454546,0.9183359013867488,0.6517719568567026,119.0,3.0,0.4646,0.1024,0.2942,0.0527,,,,13.0,7777.0,6723.0,7412.0,9826.0,11838.0,24.0,9.0,8.0,14259.0,1444.0,9844.0,1080.0,14184.0,4140.0,3672.0,,,0.0136,0.3767
2013,Barstow,0.7804459691252144,0.5926243567753001,0.8532473971244422,0.6906296479920674,592.0,82.0,0.6981,0.0203,0.4153,0.0273,4500.0,4500.0,4500.0,27.0,6014.0,6014.0,5558.0,7566.0,9313.0,469.0,0.0,0.0,12017.0,1144.0,6184.0,1710.0,11268.0,4167.0,4275.0,0.033820841,4500.0,0.0317,0.41050000000000003
2021,Berkeley City,0.8042618348857982,0.6898047722342733,0.7955485963538754,0.6552958282071357,1086.0,59.0,0.4124,0.0086,0.2486,0.0301,,,,26.0,6039.0,5384.0,5678.0,8436.0,9949.0,285.0,102.0,72.0,13465.0,1288.0,10168.0,1124.0,17254.0,4842.0,4274.0,,,0.1071,0.354
2022,Berkeley City,0.8755118755118755,0.7256347256347256,0.8040737148399612,0.6770126091173618,197.0,22.0,0.3922,0.0065,0.1397,0.0045,,,,23.0,9807.0,9797.0,9971.0,7299.0,14002.0,39.0,7.0,7.0,16120.0,1384.0,9514.0,1125.0,17253.0,4761.0,4275.0,,,0.13190000000000002,0.19679999999999997
2015,Berkeley City,0.8333333333333334,0.6691176470588235,0.8522522522522522,0.69009009009009,140.0,34.0,0.7374,0.0447,0.5993,0.0854,6355.0,7000.0,6000.0,17.0,8977.0,8734.0,9852.0,9914.0,12018.0,104.0,18.0,7.0,14772.0,1108.0,5692.0,1746.0,11970.0,4167.0,4284.0,0.046852123,6500.0,0.062299999999999994,0.35800000000000004
